Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
12/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,32
11/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,775
10/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,54
09/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,7
08/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,2
07/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,618
06/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,3
05/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,14
04/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,15
03/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,2111
02/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Sortie,Barrière à sens unique,personne,120
12/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,21
11/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,932
10/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,166
09/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,4
08/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,0
07/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,798
06/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,2
05/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,10
04/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,10
03/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,667
02/02/2024 00:00:00,D05 - ZONE PODIUM DROITE,Entree,Barrière à sens unique,personne,466
