Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
12/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,698
11/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,2070
10/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,202
09/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,77
08/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,159
07/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,1364
06/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,92
05/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,71
04/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,70
03/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,529
02/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers vip,Barrière à sens unique,personne,277
12/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,773
11/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,2635
10/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,229
09/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,130
08/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,219
07/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,1346
06/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,97
05/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,116
04/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,79
03/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,727
02/02/2024 00:00:00,D06 - ZONE PODIUM GAUCHE,Vers boutique,Barrière à sens unique,personne,469
