Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,moto,3
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule léger,192
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,vélo,6
31/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,personne,213
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,moto,1
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule léger,241
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,vélo,2
30/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,personne,193
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,moto,4
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule léger,251
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,vélo,4
29/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,personne,274
28/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,moto,2
28/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule léger,230
28/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D09 - Rue Principale Entree,Sens entree,Barrière à sens unique,vélo,5
