Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
30/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
29/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
28/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
27/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,1
26/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
25/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,3
25/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
24/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
24/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
23/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
23/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
22/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
21/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
20/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
20/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
19/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
19/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
18/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
18/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
17/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
17/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
16/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
16/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
15/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
15/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
14/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
14/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
13/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
13/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
12/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
12/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
11/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
11/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
10/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
10/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
09/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
09/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
08/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
08/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
07/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
07/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,1
06/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
06/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
05/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
05/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
04/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
04/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
03/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
03/05/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
02/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
01/06/2024 00:00:00,D10 - Espace Vert,Comptage Espace Vert,Zone,personne,0
