Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,11
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
31/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,154
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,12
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
30/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,148
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,18
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
29/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,184
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,16
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
28/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,150
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,10
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,130
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,10
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
26/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,87
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,9
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,bus,0
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,vélo,0
25/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,personne,120
24/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,moto,0
24/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule léger,11
24/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,véhicule intermédiaire,0
24/05/2024 00:00:00,D11 - ruelle Syndic V21-V01,Entree ruelle Syndic,Barrière à sens unique,poids lourd,0
