Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
12/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,79
11/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,433
10/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,104
09/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,81
08/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,35
07/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,363
06/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,53
05/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,42
04/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,22
03/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,375
02/02/2024 00:00:00,D13 - PARKING 2,Vers entree,Barrière à sens unique,personne,141
12/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,163
11/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,416
10/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,191
09/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,59
08/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,43
07/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,542
06/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,42
05/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,34
04/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,36
03/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,455
02/02/2024 00:00:00,D13 - PARKING 2,Vers sortie,Barrière à sens unique,personne,108
