Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,7
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
31/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,2
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
30/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,3
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,4
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,1
29/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,19
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,9
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
28/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,21
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,50
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,6
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,147
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
26/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,20
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,0
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
25/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,4
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
25/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
24/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,0
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,3
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
24/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,2
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
23/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,7
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,3
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
23/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,11
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,3
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
22/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,3
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,3
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
21/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,26
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,1
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
20/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,17
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
20/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,8
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,11
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
19/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,6
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,114
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
19/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,11
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
18/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,3
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,1
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
18/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,3
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,5
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
17/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,23
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
17/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,10
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,poids lourd,0
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,bus,0
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,vélo,0
16/06/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,personne,0
16/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,moto,0
16/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule léger,2
16/05/2024 00:00:00,D13 - ruelle V66,Entree V66,Barrière à sens unique,véhicule intermédiaire,0
