Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,154
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,vélo,0
31/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,personne,224
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,155
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,vélo,0
30/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,personne,229
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,169
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,vélo,0
29/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,personne,298
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,1
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,155
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,vélo,0
28/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,personne,227
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,143
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,bus,0
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,personne,160
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,0
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,137
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule intermédiaire,0
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,poids lourd,0
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,bus,0
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,vélo,0
26/05/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,personne,70
25/06/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,moto,0
25/06/2024 00:00:00,D15 - V21-V19,Comptage vers V19,Barrière à sens unique,véhicule léger,35
