Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
12/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,600
11/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,1066
10/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,261
09/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,99
08/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,107
07/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,3530
06/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,86
05/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,69
04/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,100
03/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,4509
02/02/2024 00:00:00,D19 - BILLETERIE,Vers zone gastro,Barrière à sens unique,personne,264
12/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,393
11/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,1897
10/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,439
09/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,122
08/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,109
07/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,2831
06/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,110
05/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,90
04/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,96
03/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,3099
02/02/2024 00:00:00,D19 - BILLETERIE,Vers cantine,Barrière à sens unique,personne,283
