Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,2
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,266
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
31/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,276
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,263
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
30/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,154
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,216
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
29/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,106
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,213
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
28/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,305
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,227
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,393
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,132
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
26/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,79
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,38
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
25/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,15
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,218
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
25/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,139
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,14
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
24/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,9
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,190
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
24/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,184
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,85
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
23/06/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,70
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,228
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,poids lourd,0
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,bus,0
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,vélo,0
23/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,personne,140
22/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,moto,0
22/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule léger,176
22/05/2024 00:00:00,D20 - Barriere Portail,Entree,Barrière à sens unique,véhicule intermédiaire,0
