Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,100
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
31/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,38
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,35
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,2
30/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,48
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,37
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
29/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,120
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,14
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
28/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,56
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,31
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,38
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,1178
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
26/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,16
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,3
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
25/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,8
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,1712
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,1
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
25/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,51
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,3
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
24/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,1
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,670
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
24/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,52
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,1
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,13
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
23/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,36
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,2900
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,2
23/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,67
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,18
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
22/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,55
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,26
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
21/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,45
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,11
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
20/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,34
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,11
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
20/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,41
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,15
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
19/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,45
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,9
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
19/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,27
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,11
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
18/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,59
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,27
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
18/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,70
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,10
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
17/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,31
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,74
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
17/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,55
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,4
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
16/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,6
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,22
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,3
16/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,66
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,19
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
15/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,40
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,19
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
15/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,215
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,10
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
14/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,21
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,16
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,3
14/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,46
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,16
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
13/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,28
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,36
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
13/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,55
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,34
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,2
12/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,82
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,19
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,1
12/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,49
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,42
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,vélo,0
11/06/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,personne,48
11/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,moto,0
11/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule léger,52
11/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,véhicule intermédiaire,0
11/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,poids lourd,0
11/05/2024 00:00:00,D27 - ruelle V30 -33Bis,Comptage vers V30,Barrière à sens unique,bus,0
