Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,personne,13
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule léger,0
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,vélo,0
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,personne,29
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule léger,1
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,vélo,0
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,personne,38
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule léger,2
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,vélo,0
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,personne,22
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule léger,1
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,vélo,0
27/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,personne,8
27/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule léger,1
27/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,véhicule intermédiaire,0
27/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,poids lourd,0
27/05/2024 00:00:00,D32 - ruelle 33Bis,Entree ruelle 33Bis,Barrière à sens unique,bus,0
