Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
12/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,106
11/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,84
10/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,112
09/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,55
08/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,31
07/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,141
06/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,30
05/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,36
04/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,29
03/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,96
02/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,61
12/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,62
11/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,93
10/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,102
09/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,121
08/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,23
07/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,89
06/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,21
05/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,28
04/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,43
03/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,74
02/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,46
12/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,106
11/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,84
10/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,112
09/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,55
08/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,31
07/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,141
06/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,30
05/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,36
04/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,29
03/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,96
02/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers entree,Barrière à sens unique,personne,61
12/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,62
11/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,93
10/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,102
09/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,121
08/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,23
07/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,89
06/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,21
05/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,28
04/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,43
03/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,74
02/02/2024 00:00:00,D01 - ARRIERE GAMING ZONE,Vers sortie,Barrière à sens unique,personne,46
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,28
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
31/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,49
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,31
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
30/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,69
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,21
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,1
29/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,48
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,21
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
28/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,55
27/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
27/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,24
